Product Name,SKU,Variant Title,Flavor,Size,Price,Sale Price,Original Price,In Stock,Product URL
Impact Whey Protein,11076444,Impact Whey Protein - 5.5lb - Salted Caramel,Salted Caramel,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11111234,Impact Whey Protein - 2.2lb - Chocolate Brownie,Chocolate Brownie,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11111235,Impact Whey Protein - 5.5lb - Chocolate Brownie,Chocolate Brownie,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11111236,Impact Whey Protein - 11lb - Chocolate Brownie,Chocolate Brownie,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11146960,Impact Whey Protein - 2.2lb - Chocolate Peanut Butter,Chocolate Peanut Butter,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11146962,Impact Whey Protein - 5.5lb - Chocolate Peanut Butter,Chocolate Peanut Butter,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11174736,Impact Whey Protein - 2.2lb - Fruity Cereal,Fruity Cereal,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11273589,Impact Whey Protein - 2.2lb - Birthday Cake,Birthday Cake,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11273590,Impact Whey Protein - 5.5lb - Birthday Cake,Birthday Cake,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11273591,Impact Whey Protein - 11lb - Birthday Cake,Birthday Cake,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11351906,Impact Whey Protein - 2.2lb - Pumpkin Spice,Pumpkin Spice,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11359418,Impact Whey Protein - 0.55lb - Vanilla Ice Cream,Vanilla Ice Cream,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11359420,Impact Whey Protein - 0.55lb - Strawberry Milkshake,Strawberry Milkshake,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11359421,Impact Whey Protein - 0.55lb - Cookies and Cream,Cookies and Cream,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11359422,Impact Whey Protein - 0.55lb - Mocha,Mocha,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11359424,Impact Whey Protein - 0.55lb - Salted Caramel,Salted Caramel,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,11375603,Impact Whey Protein - 0.55lb - Chocolate Brownie,Chocolate Brownie,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12048557,Impact Whey Protein - 0.55lb - Birthday Cake,Birthday Cake,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12270246,Impact Whey Protein - 2.2lb - Gingerbread,Gingerbread,2.2lb,CA$75.99,CA$75.99,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12703107,Impact Whey Protein - 0.55lb - Marshmallow Cereal,Marshmallow Cereal,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12703108,Impact Whey Protein - 2.2lb - Marshmallow Cereal,Marshmallow Cereal,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12703109,Impact Whey Protein - 5.5lb - Marshmallow Cereal,Marshmallow Cereal,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12703110,Impact Whey Protein - 11lb - Marshmallow Cereal,Marshmallow Cereal,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12703112,Impact Whey Protein - 5.5lb - Fruity Cereal,Fruity Cereal,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,12703113,Impact Whey Protein - 11lb - Fruity Cereal,Fruity Cereal,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13123174,Impact Whey Protein - 11lb - Cookies and Cream,Cookies and Cream,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13123175,Impact Whey Protein - 5.5lb - Cookies and Cream,Cookies and Cream,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13123176,Impact Whey Protein - 2.2lb - Cookies and Cream,Cookies and Cream,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13183006,Impact Whey Protein - 5.51lb - Cinnamon Cereal,Cinnamon Cereal,5.51lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13183007,Impact Whey Protein - 2.2lb - Cinnamon Cereal,Cinnamon Cereal,2.2lb,CA$84.99,,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13947926,Impact Whey Protein - 1.1lb - Marshmallow Cereal,Marshmallow Cereal,1.1lb,CA$36.99,CA$36.99,CA$42.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13947928,Impact Whey Protein - 1.1lb - Fruity Cereal,Fruity Cereal,1.1lb,CA$33.99,CA$33.99,CA$42.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,13947930,Impact Whey Protein - 1.1lb - Cinnamon Cereal,Cinnamon Cereal,1.1lb,CA$42.99,,CA$42.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,15058961,Impact Whey Protein - 0.55lb - Cinnamon Cereal,Cinnamon Cereal,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,15152175,Impact Whey Protein - 0.55lb - Unflavored,Unflavored,0.55lb,CA$22.99,,CA$22.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,15212557,Impact Whey Protein - 26servings - Southern Comfort Southern Milkshake,Southern Comfort Southern Milkshake,26servings,CA$50.99,CA$50.99,CA$84.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
